href,Index
#,1
#,2
/account/login?ret=/,3
/account/login?signup=true&ret=/,4
/account/?rd=0&link=home_account,5
/plus,6
/account/orders?link=home_orders,7
/wishlist?link=home_wishlist,8
/account/rewards?link=home_rewards,9
/the-gift-card-store?link=home_giftcard,10
login?ret=%2F&entryPage=HEADER_ACCOUNT&sourceContext=DEFAULT,11
/viewcart?exploreMode=true&preference=FLIPKART,12
/viewcart?exploreMode=true&preference=FLIPKART,13
https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,14
https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,15
#,16
/communication-preferences/push?t=all,17
/helpcentre,18
https://advertising.flipkart.com/?otracker=ch_vn_advertise_header,19
/mobile-apps?otracker=ch_vn_mobile_apps,20
/grocery-supermart-store?marketplace=GROCERY&fm=neo%2Fmerchandising&iid=M_45314193-712b-439b-b8a9-96de61ea7701_1_372UD5BXDFYS_MC.CBUR1Q46W5F1&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Grocery_CBUR1Q46W5F1&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L0_view-all&cid=CBUR1Q46W5F1,21
/mobile-phones-store?fm=neo%2Fmerchandising&iid=M_45314193-712b-439b-b8a9-96de61ea7701_1_372UD5BXDFYS_MC.ZRQ4DKH28K8J&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Mobiles_ZRQ4DKH28K8J&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L0_view-all&cid=ZRQ4DKH28K8J,22
/tvs-and-appliances-new-clp-store?fm=neo%2Fmerchandising&iid=M_45314193-712b-439b-b8a9-96de61ea7701_1_372UD5BXDFYS_MC.LO4IWVHA61BX&otracker=hp_rich_navigation_6_1.navigationCard.RICH_NAVIGATION_Appliances_LO4IWVHA61BX&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_6_L0_view-all&cid=LO4IWVHA61BX,23
/travel/flights?param=DTNavIcon&fm=neo%2Fmerchandising&iid=M_45314193-712b-439b-b8a9-96de61ea7701_1_372UD5BXDFYS_MC.V4ZPKTOAO321&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Travel_V4ZPKTOAO321&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L0_view-all&cid=V4ZPKTOAO321,24
/realme-12-series-coming-soon-store?param=1178,25
/intel-ultra-core-store,26
https://www.flipkart.com/travel/flights?param=Travel_FKHP_DT-HPW_AirIndia1499,27
https://www.flipkart.com/travel/flights?param=Travel_FKHP_DT-HPW_Akasa1299,28
https://www.flipkart.com/offers-list/content?screen=dynamic&pk=themeViews%3DDT-OMU-1%3ADealcard~widgetType%3DdealCard~contentType%3Dneo&wid=2.dealCard.OMU,29
